scenario,year,mean,low,high
ssp126,2015,0.0,0.0,0.0
ssp126,2016,0.07478024196435247,0.022591893878939118,0.11334274932914923
ssp126,2017,0.05232830307261338,0.030752013476558204,0.06378142062783354
ssp126,2018,0.14378247069809427,0.112807845841985,0.179399493328674
ssp126,2019,0.25212508804329065,0.18570648992198358,0.3804355865253797
ssp126,2020,0.2724855137384073,0.1588437095506947,0.4597299026842734
ssp126,2021,0.24294593793085065,0.16063149462399906,0.3364388412225594
ssp126,2022,0.39806500139061046,0.3239840205251312,0.4502292929395253
ssp126,2023,0.4013547643297481,0.3124420488085775,0.4894775900037871
ssp126,2024,0.42529014735466336,0.25123517569835485,0.6823209215665429
ssp126,2025,0.42630265846518495,0.2854920847917697,0.5994917441107077
ssp126,2026,0.5186785219475306,0.49021946315127707,0.5357308098001567
ssp126,2027,0.599030919744564,0.5306942901849538,0.7122453132312785
ssp126,2028,0.5302268503542678,0.1675008652526344,0.780951013307913
ssp126,2029,0.4864703281630227,0.19453040220628282,0.7517436749589592
ssp126,2030,0.5556300414151565,0.25035495388550544,0.7182412307632831
ssp126,2031,0.557136656030309,0.3564634192495646,0.7399392097390773
ssp126,2032,0.5119328199691419,0.35962477643630564,0.679409646746933
ssp126,2033,0.6366398755387195,0.42894541101992445,0.7826711890650131
ssp126,2034,0.6201301895681581,0.32467854861693013,0.775160270932929
ssp126,2035,0.6889200540776036,0.5105799451314397,0.7967518197610275
ssp126,2036,0.7454274609778887,0.5830441759875953,0.8823306117088805
ssp126,2037,0.7300785990519595,0.5895738334554039,0.8306996552768169
ssp126,2038,0.7842061236018859,0.5957508811031289,0.9928733442592943
ssp126,2039,0.9050389449605708,0.8270367861663885,0.9697346225086676
ssp126,2040,0.8244146481506315,0.47585965166831556,1.04874706964398
ssp126,2041,0.8095086422771942,0.4509707607148812,1.0279855674158966
ssp126,2042,0.9547528233709386,0.6647410222046233,1.2304056112095623
ssp126,2043,0.9695822915802523,0.8070296281001106,1.1018783539014976
ssp126,2044,0.9418190838773436,0.6654749738755186,1.1854554864034412
ssp126,2045,0.9447576627001505,0.6140496991758368,1.1450671629982594
ssp126,2046,1.0612851108625894,0.8809854419984617,1.2275742316925857
ssp126,2047,1.0154108148677967,0.628786912733915,1.2952778496562019
ssp126,2048,1.0260316046488736,0.6433269685764458,1.2602354192406438
ssp126,2049,1.0476975652548315,0.7955778062817558,1.2511813854340517
ssp126,2050,1.0397169095294316,0.7079827391390268,1.27947645678438
ssp126,2051,0.998487325564497,0.5785948026023675,1.3152952083045761
ssp126,2052,1.1136018306698172,0.6930053378247862,1.4823163364847574
ssp126,2053,1.1057430886130153,0.749949657247555,1.3750884378081878
ssp126,2054,1.0264482430469382,0.7322275477188214,1.2996698638158932
ssp126,2055,1.0760339666406555,0.8812623017121268,1.2337057487691254
ssp126,2056,1.0847523140982578,0.677957950861412,1.5262845074703932
ssp126,2057,1.0032399645425396,0.7228739970266247,1.3038076943304304
ssp126,2058,1.0446236337896835,0.8105051705431947,1.396955756833961
ssp126,2059,1.0778190509495478,0.768896622387615,1.3995709084184682
ssp126,2060,1.2003505939204615,0.9880864673897349,1.510544024345677
ssp126,2061,1.2367857973422172,0.8310245503677152,1.4685286356021265
ssp126,2062,1.175761980203049,0.6881472415071244,1.5168896708690909
ssp126,2063,1.0970851194106785,0.6451575191059078,1.4845351387547225
ssp126,2064,1.1688638114830117,0.7047391855335832,1.4893818987129634
ssp126,2065,1.2055838037438775,0.8327525363051791,1.4478033502281278
ssp126,2066,1.2426887502312336,0.8667531152518109,1.575044770072111
ssp126,2067,1.222994509133116,0.7710171897890064,1.535051965737182
ssp126,2068,1.1249356533049688,0.7137740084986035,1.4216981974462328
ssp126,2069,1.1775216403013928,0.7012089943207798,1.562991689610385
ssp126,2070,1.2729105623913597,0.8562825480159404,1.6129367434004962
ssp126,2071,1.2932578930671828,1.0070393601108663,1.530650785517878
ssp126,2072,1.214908027530593,0.8123527199056753,1.6073208422055814
ssp126,2073,1.239074730264008,0.8990068660216934,1.5256661407076422
ssp126,2074,1.2073072881823539,0.8421705663594707,1.5496359306244472
ssp126,2075,1.1686483423345067,0.7969133529755368,1.545596270719443
ssp126,2076,1.2570939899384637,0.9574246580177146,1.5031534781088567
ssp126,2077,1.204270405179822,0.7718939268901863,1.6363929392992986
ssp126,2078,1.171114663188689,0.7169172242007562,1.5859213107651726
ssp126,2079,1.1352427149968776,0.5632362957811097,1.5920706477263025
ssp126,2080,1.16684493792161,0.780706181598191,1.6909570963142073
ssp126,2081,1.272944771417239,0.9336120744858363,1.7268751147632315
ssp126,2082,1.2370839260343398,0.8052505898954223,1.838208641603444
ssp126,2083,1.1500061690330767,0.7585990398566764,1.5681705237312258
ssp126,2084,1.1827413293805762,0.948217323663016,1.5442234820729936
ssp126,2085,1.2188149260061512,0.8336875454635901,1.6911956501448913
ssp126,2086,1.132980773441318,0.836704888390102,1.5074904926617592
ssp126,2087,1.1622948165094347,0.7879519385003846,1.5892121665554555
